from	to	weight
LOC_Os01g01010	LOC_Os06g39750	0.504
LOC_Os01g01030	LOC_Os06g39750	0.336
LOC_Os01g01150	LOC_Os06g39750	0.351
LOC_Os01g01160	LOC_Os06g39750	0.412
LOC_Os01g01190	LOC_Os06g39750	0.295
LOC_Os01g01360	LOC_Os06g39750	0.377
LOC_Os01g01010	LOC_Os01g01030	0.407
LOC_Os01g01070	LOC_Os01g01080	0.352
LOC_Os01g01115	LOC_Os01g01120	0.217
LOC_Os01g01010	LOC_Os01g01150	0.171
LOC_Os01g01030	LOC_Os01g01150	0.521
LOC_Os01g01010	LOC_Os01g01160	0.471
LOC_Os01g01030	LOC_Os01g01160	0.243
LOC_Os01g01120	LOC_Os01g01160	0.124
LOC_Os01g01150	LOC_Os01g01160	0.347
LOC_Os01g01010	LOC_Os01g01190	0.342
LOC_Os01g01030	LOC_Os01g01190	0.787
LOC_Os01g01150	LOC_Os01g01190	0.438
LOC_Os01g01160	LOC_Os01g01190	0.188
LOC_Os01g01120	LOC_Os01g01280	0.143
LOC_Os01g01120	LOC_Os01g01302	0.562
LOC_Os01g01070	LOC_Os01g01312	0.208
LOC_Os01g01080	LOC_Os01g01312	0.349
LOC_Os01g01302	LOC_Os01g01312	0.181
LOC_Os01g01312	LOC_Os01g01350	0.235
LOC_Os01g01010	LOC_Os01g01360	0.147
LOC_Os01g01030	LOC_Os01g01360	0.159
LOC_Os01g01150	LOC_Os01g01360	0.617
LOC_Os01g01160	LOC_Os01g01360	0.397
LOC_Os01g01190	LOC_Os01g01360	0.224
LOC_Os01g01070	LOC_Os01g01369	0.105
LOC_Os01g01120	LOC_Os01g01369	0.182
LOC_Os01g01302	LOC_Os01g01369	0.365
LOC_Os01g01010	LOC_Os01g01410	0.132
LOC_Os01g01030	LOC_Os01g01410	0.302
LOC_Os01g01150	LOC_Os01g01410	0.564
LOC_Os01g01160	LOC_Os01g01410	0.367
LOC_Os01g01190	LOC_Os01g01410	0.343
LOC_Os01g01280	LOC_Os01g01410	0.205
LOC_Os01g01360	LOC_Os01g01410	0.428
LOC_Os01g01070	LOC_Os01g01430	0.267
LOC_Os01g01080	LOC_Os01g01430	0.145
LOC_Os01g01120	LOC_Os01g01430	0.103
LOC_Os01g01302	LOC_Os01g01430	0.183
LOC_Os01g01312	LOC_Os01g01430	0.605
LOC_Os01g01350	LOC_Os01g01430	0.141
LOC_Os01g01369	LOC_Os01g01430	0.321
LOC_Os01g01030	LOC_Os01g01484	0.129
LOC_Os01g01150	LOC_Os01g01484	0.313
LOC_Os01g01160	LOC_Os01g01484	0.169
LOC_Os01g01190	LOC_Os01g01484	0.218
LOC_Os01g01280	LOC_Os01g01484	0.49
LOC_Os01g01360	LOC_Os01g01484	0.284
LOC_Os01g01410	LOC_Os01g01484	0.836
LOC_Os01g01030	LOC_Os01g01510	0.129
LOC_Os01g01369	LOC_Os01g01510	0.193
LOC_Os01g01080	LOC_Os01g01520	0.199
LOC_Os01g01312	LOC_Os01g01520	0.163
LOC_Os01g01010	LOC_Os01g01570	0.258
LOC_Os01g01030	LOC_Os01g01570	0.474
LOC_Os01g01150	LOC_Os01g01570	0.8
LOC_Os01g01160	LOC_Os01g01570	0.441
LOC_Os01g01190	LOC_Os01g01570	0.598
LOC_Os01g01360	LOC_Os01g01570	0.736
LOC_Os01g01410	LOC_Os01g01570	0.681
LOC_Os01g01484	LOC_Os01g01570	0.472
LOC_Os01g01010	LOC_Os01g01600	0.201
LOC_Os01g01030	LOC_Os01g01600	0.408
LOC_Os01g01120	LOC_Os01g01600	0.128
LOC_Os01g01150	LOC_Os01g01600	0.19
LOC_Os01g01160	LOC_Os01g01600	0.151
LOC_Os01g01190	LOC_Os01g01600	0.708
LOC_Os01g01350	LOC_Os01g01600	0.162
LOC_Os01g01360	LOC_Os01g01600	0.12
LOC_Os01g01410	LOC_Os01g01600	0.402
LOC_Os01g01484	LOC_Os01g01600	0.392
LOC_Os01g01570	LOC_Os01g01600	0.411
LOC_Os01g01410	LOC_Os01g01640	0.139
LOC_Os01g01484	LOC_Os01g01640	0.185
LOC_Os01g01600	LOC_Os01g01640	0.199
LOC_Os01g01115	LOC_Os01g01650	0.309
LOC_Os01g01120	LOC_Os01g01650	0.953
LOC_Os01g01160	LOC_Os01g01650	0.131
LOC_Os01g01302	LOC_Os01g01650	0.485
LOC_Os01g01312	LOC_Os01g01650	0.106
LOC_Os01g01350	LOC_Os01g01650	0.11
LOC_Os01g01369	LOC_Os01g01650	0.148
LOC_Os01g01430	LOC_Os01g01650	0.1
LOC_Os01g01600	LOC_Os01g01650	0.107
LOC_Os01g01369	LOC_Os01g01660	0.116
LOC_Os01g01510	LOC_Os01g01660	0.429
LOC_Os01g01060	LOC_Os01g01700	0.393
LOC_Os01g01510	LOC_Os01g01700	0.437
LOC_Os01g01660	LOC_Os01g01700	0.322
LOC_Os01g01115	LOC_Os01g01710	0.273
LOC_Os01g01120	LOC_Os01g01710	0.702
LOC_Os01g01160	LOC_Os01g01710	0.214
LOC_Os01g01302	LOC_Os01g01710	0.409
LOC_Os01g01360	LOC_Os01g01710	0.11
