from	to	weight
301001	301010	0.816
301001	301092	0.245
301010	301092	0.237
301001	301093	0.255
301010	301093	0.241
301092	301093	0.533
301001	301094	0.489
301010	301094	0.486
301092	301094	0.289
301093	301094	0.287
301001	301095	0.27
301010	301095	0.269
301092	301095	0.532
301093	301095	0.858
301094	301095	0.322
301001	301096	0.692
301010	301096	0.642
301092	301096	0.346
301093	301096	0.362
301094	301096	0.548
301095	301096	0.39
301001	301097	0.702
301010	301097	0.655
301092	301097	0.348
301093	301097	0.338
301094	301097	0.546
301095	301097	0.371
301096	301097	0.864
301001	301098	0.87
301010	301098	0.796
301092	301098	0.304
301093	301098	0.316
301094	301098	0.571
301095	301098	0.345
301096	301098	0.734
301097	301098	0.751
301001	301099	0.887
301010	301099	0.862
301092	301099	0.279
301093	301099	0.278
301094	301099	0.533
301095	301099	0.312
301096	301099	0.703
301097	301099	0.712
301098	301099	0.863
301001	301100	0.218
301010	301100	0.229
301092	301100	0.456
301093	301100	0.634
301094	301100	0.292
301095	301100	0.626
301096	301100	0.288
301097	301100	0.298
301098	301100	0.284
301099	301100	0.252
301001	301102	0.911
301010	301102	0.865
301092	301102	0.276
301093	301102	0.279
301094	301102	0.521
301095	301102	0.305
301096	301102	0.711
301097	301102	0.723
301098	301102	0.867
301099	301102	0.927
301100	301102	0.25
301001	301104	0.459
301010	301104	0.458
301092	301104	0.297
301093	301104	0.301
301094	301104	0.769
301095	301104	0.332
301096	301104	0.508
301097	301104	0.511
301098	301104	0.534
301099	301104	0.504
301100	301104	0.311
301102	301104	0.49
301001	301106	0.171
301010	301106	0.196
301092	301106	0.629
301093	301106	0.437
301094	301106	0.242
301095	301106	0.452
301096	301106	0.265
301097	301106	0.259
301098	301106	0.241
301099	301106	0.214
301100	301106	0.376
301102	301106	0.205
301104	301106	0.233
301001	301108	0.245
301010	301108	0.216
301092	301108	0.485
301093	301108	0.593
301094	301108	0.285
301095	301108	0.572
301096	301108	0.323
301097	301108	0.308
301098	301108	0.303
301099	301108	0.262
301100	301108	0.599
301102	301108	0.26
301104	301108	0.305
301106	301108	0.375
301001	301109	0.21
301010	301109	0.217
301092	301109	0.508
301093	301109	0.664
301094	301109	0.291
301095	301109	0.655
301096	301109	0.315
301097	301109	0.299
301098	301109	0.282
301099	301109	0.242
301100	301109	0.652
301102	301109	0.24
301104	301109	0.322
301106	301109	0.415
301108	301109	0.642
301001	301110	0.841
301010	301110	0.786
301092	301110	0.301
301093	301110	0.297
301094	301110	0.539
301095	301110	0.329
301096	301110	0.79
301097	301110	0.806
301098	301110	0.837
301099	301110	0.85
301100	301110	0.267
301102	301110	0.862
301104	301110	0.507
301106	301110	0.224
301108	301110	0.277
301109	301110	0.259
301001	301112	0.238
301010	301112	0.231
301092	301112	0.7
301093	301112	0.477
301094	301112	0.277
301095	301112	0.485
301096	301112	0.35
301097	301112	0.342
301098	301112	0.305
301099	301112	0.272
301100	301112	0.418
301102	301112	0.265
301104	301112	0.277
301106	301112	0.609
301108	301112	0.461
301109	301112	0.468
301110	301112	0.297
301001	301113	0.488
301010	301113	0.496
301092	301113	0.2
301093	301113	0.188
301094	301113	0.422
301095	301113	0.234
301096	301113	0.604
301097	301113	0.606
301098	301113	0.545
301099	301113	0.538
301100	301113	0.178
301102	301113	0.527
301104	301113	0.43
301106	301113	0.124
301108	301113	0.169
301109	301113	0.169
301110	301113	0.59
301112	301113	0.176
301001	301114	0.704
301010	301114	0.672
301092	301114	0.322
301093	301114	0.31
301094	301114	0.552
301095	301114	0.348
301096	301114	0.837
301097	301114	0.864
301098	301114	0.753
301099	301114	0.731
301100	301114	0.281
301102	301114	0.728
301104	301114	0.523
301106	301114	0.248
301108	301114	0.287
301109	301114	0.272
301110	301114	0.865
301112	301114	0.312
301113	301114	0.637
301001	301115	0.722
301010	301115	0.681
301092	301115	0.33
301093	301115	0.311
301094	301115	0.56
301095	301115	0.347
301096	301115	0.841
301097	301115	0.867
301098	301115	0.764
301099	301115	0.741
301100	301115	0.284
301102	301115	0.74
301104	301115	0.537
301106	301115	0.246
301108	301115	0.292
301109	301115	0.281
301110	301115	0.868
301112	301115	0.318
301113	301115	0.64
301114	301115	0.955
301001	301116	0.592
301010	301116	0.582
301092	301116	0.262
301093	301116	0.246
301094	301116	0.481
301095	301116	0.288
301096	301116	0.714
301097	301116	0.738
301098	301116	0.649
301099	301116	0.636
301100	301116	0.23
301102	301116	0.626
301104	301116	0.487
301106	301116	0.181
301108	301116	0.228
301109	301116	0.22
301110	301116	0.747
301112	301116	0.245
301113	301116	0.702
301114	301116	0.843
301115	301116	0.83
301001	301117	0.697
301010	301117	0.667
301092	301117	0.297
301093	301117	0.292
301094	301117	0.541
301095	301117	0.327
301096	301117	0.809
301097	301117	0.826
301098	301117	0.737
301099	301117	0.721
301100	301117	0.276
301102	301117	0.716
301104	301117	0.528
301106	301117	0.221
301108	301117	0.276
301109	301117	0.263
301110	301117	0.827
301112	301117	0.276
301113	301117	0.649
301114	301117	0.892
301115	301117	0.913
301116	301117	0.782
301001	301120	0.274
301010	301120	0.26
301092	301120	0.522
301093	301120	0.698
301094	301120	0.326
301095	301120	0.679
301096	301120	0.361
301097	301120	0.347
301098	301120	0.339
301099	301120	0.301
301100	301120	0.722
301102	301120	0.299
301104	301120	0.35
301106	301120	0.409
301108	301120	0.673
301109	301120	0.718
301110	301120	0.32
301112	301120	0.468
301113	301120	0.22
301114	301120	0.335
301115	301120	0.342
301116	301120	0.277
301117	301120	0.321
301001	301012	0.23
301010	301012	0.241
301092	301012	0.683
301093	301012	0.46
301094	301012	0.287
301095	301012	0.481
301096	301012	0.338
301097	301012	0.34
301098	301012	0.295
301099	301012	0.271
301100	301012	0.437
301102	301012	0.265
301104	301012	0.291
301106	301012	0.567
301108	301012	0.436
301109	301012	0.489
301110	301012	0.29
