from	to	weight
301001	301002	0.052
301001	301003	0.003
301002	301003	0.003
301001	301004	0.002
301002	301004	0.002
301003	301004	0.027
301001	301005	0.01
301002	301005	0.009
301003	301005	0.005
301004	301005	0.004
301001	301006	0.002
301002	301006	0.002
301003	301006	0.009
301004	301006	0.013
301005	301006	0.003
301001	301007	0.086
301002	301007	0.069
301003	301007	0.003
301004	301007	0.002
301005	301007	0.01
301006	301007	0.002
301001	301008	0.01
301002	301008	0.009
301003	301008	0.004
301004	301008	0.003
301005	301008	0.021
301006	301008	0.003
301007	301008	0.009
301001	301009	0.044
301002	301009	0.071
301003	301009	0.003
301004	301009	0.003
301005	301009	0.011
301006	301009	0.002
301007	301009	0.045
301008	301009	0.011
301001	301010	0.016
301002	301010	0.014
301003	301010	0.004
301004	301010	0.003
301005	301010	0.019
301006	301010	0.002
301007	301010	0.014
301008	301010	0.029
301009	301010	0.017
301001	301012	0.003
301002	301012	0.003
301003	301012	0.041
301004	301012	0.021
301005	301012	0.005
301006	301012	0.01
301007	301012	0.003
301008	301012	0.004
301009	301012	0.003
301010	301012	0.004
301001	301014	0.014
301002	301014	0.012
301003	301014	0.004
301004	301014	0.003
301005	301014	0.024
301006	301014	0.002
301007	301014	0.013
301008	301014	0.035
301009	301014	0.014
301010	301014	0.051
301012	301014	0.004
301001	301015	0.001
301002	301015	0.001
301003	301015	0.005
301004	301015	0.006
301005	301015	0.002
301006	301015	0.014
301007	301015	0.001
301008	301015	0.002
301009	301015	0.001
301010	301015	0.002
301012	301015	0.005
301014	301015	0.002
301001	301016	0.002
301002	301016	0.002
301003	301016	0.022
301004	301016	0.052
301005	301016	0.004
301006	301016	0.01
301007	301016	0.002
301008	301016	0.003
301009	301016	0.002
301010	301016	0.003
301012	301016	0.016
301014	301016	0.003
301015	301016	0.005
301001	301017	0.002
301002	301017	0.002
301003	301017	0.015
301004	301017	0.04
301005	301017	0.004
301006	301017	0.014
301007	301017	0.002
301008	301017	0.003
301009	301017	0.002
301010	301017	0.003
301012	301017	0.013
301014	301017	0.003
301015	301017	0.006
301016	301017	0.044
301001	301018	0.01
301002	301018	0.012
301003	301018	0.004
301004	301018	0.003
301005	301018	0.008
301006	301018	0.002
301007	301018	0.01
301008	301018	0.008
301009	301018	0.014
301010	301018	0.009
301012	301018	0.004
301014	301018	0.008
301015	301018	0.002
301016	301018	0.003
301017	301018	0.003
301001	301019	0.002
301002	301019	0.002
301003	301019	0.013
301004	301019	0.024
301005	301019	0.004
301006	301019	0.025
301007	301019	0.002
301008	301019	0.003
301009	301019	0.002
301010	301019	0.003
301012	301019	0.014
301014	301019	0.003
301015	301019	0.008
301016	301019	0.018
301017	301019	0.027
301018	301019	0.003
301001	301020	0.011
301002	301020	0.011
301003	301020	0.005
301004	301020	0.004
301005	301020	0.028
301006	301020	0.003
301007	301020	0.01
301008	301020	0.026
301009	301020	0.013
301010	301020	0.024
301012	301020	0.005
301014	301020	0.023
301015	301020	0.002
301016	301020	0.004
301017	301020	0.003
301018	301020	0.011
301019	301020	0.003
301001	301022	0.031
301002	301022	0.024
301003	301022	0.003
301004	301022	0.003
301005	301022	0.015
301006	301022	0.002
301007	301022	0.025
301008	301022	0.017
301009	301022	0.033
301010	301022	0.031
301012	301022	0.003
301014	301022	0.027
301015	301022	0.002
301016	301022	0.003
301017	301022	0.002
301018	301022	0.011
301019	301022	0.002
301020	301022	0.017
