from	to	weight
LOC_Os01g02550	301001	0.681
LOC_Os01g02550	301010	0.681
LOC_Os01g02550	301092	0.681
LOC_Os01g02550	301093	0.681
LOC_Os01g02550	301094	0.681
LOC_Os01g02550	301095	0.681
LOC_Os01g02550	301096	0.681
LOC_Os01g02550	301097	0.681
LOC_Os01g02550	301098	0.681
LOC_Os01g02550	301099	0.681
LOC_Os01g02550	301100	0.681
LOC_Os01g02550	301102	0.681
LOC_Os01g02550	301104	0.681
LOC_Os01g02550	301106	0.681
LOC_Os01g02550	301108	0.681
LOC_Os01g02550	301109	0.681
LOC_Os01g02550	301110	0.681
LOC_Os01g02550	301112	0.681
LOC_Os01g02550	301113	0.681
LOC_Os01g02550	301114	0.681
LOC_Os01g02550	301115	0.681
LOC_Os01g02550	301116	0.681
LOC_Os01g02550	301117	0.681
LOC_Os01g02550	301120	0.681
LOC_Os01g02550	301012	0.681
LOC_Os01g02550	301121	0.681
LOC_Os01g02550	301122	0.681
LOC_Os01g02550	301123	0.681
LOC_Os01g02550	301124	0.681
LOC_Os01g02550	301125	0.681
LOC_Os01g02550	301127	0.681
LOC_Os01g02550	301128	0.681
LOC_Os01g02550	301129	0.681
LOC_Os01g02550	301130	0.681
LOC_Os01g02550	301131	0.681
LOC_Os01g02550	301133	0.681
LOC_Os01g02550	301134	0.681
LOC_Os01g02550	301135	0.681
LOC_Os01g02550	301136	0.681
LOC_Os01g02550	301138	0.681
LOC_Os01g02550	301139	0.681
LOC_Os01g02550	301140	0.681
LOC_Os01g02550	301383	0.681
LOC_Os01g02550	301141	0.681
LOC_Os01g02550	301142	0.681
LOC_Os01g02550	301143	0.681
LOC_Os01g02550	301144	0.681
LOC_Os01g02550	301145	0.681
LOC_Os01g02550	301146	0.681
LOC_Os01g02550	301147	0.681
LOC_Os01g02550	301148	0.681
LOC_Os01g02550	301149	0.681
LOC_Os01g02550	301150	0.681
LOC_Os01g02550	301014	0.681
LOC_Os01g02550	301151	0.681
LOC_Os01g02550	301152	0.681
LOC_Os01g02550	301153	0.681
LOC_Os01g02550	301154	0.681
LOC_Os01g02550	301156	0.681
LOC_Os01g02550	301158	0.681
LOC_Os01g02550	301162	0.681
