Gene	Rank	Type	Score	P100
LOC_Os01g01010	1	_	0.0017754790822717	0
LOC_Os02g38440	2	_	0.00164395837638577	0
LOC_Os01g01160	3	_	0.00133781364608655	0
LOC_Os04g40730	4	_	0.00133406295964006	0
LOC_Os01g01030	5	_	0.00116131046340511	0.1
LOC_Os01g01360	6	_	0.00115781696965787	0
LOC_Os01g01150	7	_	0.00115582404739993	0
LOC_Os01g01190	8	_	0.000956812537765615	0
LOC_Os01g01570	9	_	0.000230305038544413	0
LOC_Os01g01410	10	_	0.000172958922114755	0
LOC_Os01g01600	11	_	0.00015684356591424	0
LOC_Os02g11070	12	_	0.000154244959165684	0
LOC_Os08g37130	13	_	0.000146213196739225	0
LOC_Os03g26530	14	_	0.000142436412861989	0
LOC_Os10g33370	15	_	0.000142436412861989	0
LOC_Os03g06705	16	_	0.000141375287959582	0
LOC_Os05g49900	17	_	0.000141375287959582	0
LOC_Os10g28060	18	_	0.000141375287959582	0
LOC_Os11g37900	19	_	0.000141375287959582	0
LOC_Os03g08360	20	_	0.000139662649414679	0
LOC_Os05g49290	21	_	0.000136681205759242	0
LOC_Os02g49920	22	_	0.000124018093829583	0
LOC_Os03g12030	23	_	0.000124018093829583	0
LOC_Os06g14810	24	_	0.000124018093829583	0
LOC_Os06g15170	25	_	0.000124018093829583	0
LOC_Os03g14170	26	_	0.000121690876391828	0
LOC_Os01g01484	27	_	9.69798938347175e-05	0.1
LOC_Os01g01710	28	_	4.09418689000346e-05	0
LOC_Os01g05694	29	_	4.01614179343572e-05	0
LOC_Os01g05710	30	_	3.82562029956006e-05	0
LOC_Os01g05720	31	_	3.82562029956006e-05	0
LOC_Os04g20280	32	_	3.53976442370408e-05	0
LOC_Os01g05744	33	_	3.10298402488047e-05	0
LOC_Os01g34560	34	_	2.89691679311467e-05	0
LOC_Os04g02640	35	_	2.89691679311467e-05	0
LOC_Os01g01650	36	_	1.78990193405359e-05	0
LOC_Os01g01120	37	_	1.73185800077413e-05	0
LOC_Os04g02620	38	_	1.6224890795505e-05	0
LOC_Os06g19530	39	_	1.6224890795505e-05	0
LOC_Os06g19540	40	_	1.6224890795505e-05	0
LOC_Os06g19550	41	_	1.6224890795505e-05	0
LOC_Os06g19590	42	_	1.6224890795505e-05	0
LOC_Os01g01510	43	_	1.44575709826689e-05	0
LOC_Os03g49480	44	_	1.2218641100425e-05	0
LOC_Os12g43890	45	_	1.2218641100425e-05	0
LOC_Os06g19500	46	_	1.14963619382361e-05	0
LOC_Os06g19610	47	_	1.14963619382361e-05	0
LOC_Os05g38590	48	_	1.12236921215415e-05	0
LOC_Os01g01280	49	_	1.11367386303885e-05	0
LOC_Os01g01640	50	_	1.05090946101685e-05	0
LOC_Os01g05670	51	_	8.78044151014077e-06	0
LOC_Os08g30340	52	_	5.67528824405003e-06	0
LOC_Os04g53240	53	_	4.59430231548026e-06	0.1
LOC_Os08g09240	54	_	4.59430231548026e-06	0.1
LOC_Os07g32800	55	_	4.59389392095844e-06	0.1
